metric,value,last_updated
total_users,7,2026-04-16T21:27:06.324099
new_users_today,1,2026-04-16T21:27:06.324099
segment_A,0,2026-04-16T21:27:06.324099
segment_B,1,2026-04-16T21:27:06.324099
segment_C,2,2026-04-16T21:27:06.324099
segment_D,4,2026-04-16T21:27:06.324099
